997,-1,NaN,root,root,1,3,8690,,0,1,0,/997/,FFFFFF,,,f,1,385153371,734881840,root
8,0,NaN,grey,Basic cell groups and regions,1,3,8690,997,1,1,1,/997/8/,BFDAE3,,,f,2,2244697386,734881840,Basic cell groups and regions
567,70,NaN,CH,Cerebrum,1,3,8690,8,2,1,2,/997/8/567/,B0F0FF,,,f,3,2878815794,734881840,Cerebrum
688,85,NaN,CTX,Cerebral cortex,1,3,8690,567,3,1,3,/997/8/567/688/,B0FFB8,,,f,4,3591311804,734881840,Cerebral cortex
695,86,NaN,CTXpl,Cortical plate,1,3,8690,688,4,1,4,/997/8/567/688/695/,70FF70,,,f,5,3945900931,734881840,Cortical plate
315,746,NaN,Isocortex,Isocortex,1,3,8690,695,5,1,5,/997/8/567/688/695/315/,70FF71,,,f,6,2323732626,734881840,Isocortex
184,871,NaN,FRP,"Frontal pole, cerebral cortex",1,3,8690,315,6,1,6,/997/8/567/688/695/315/184/,268F45,,,f,7,2565719060,734881840,Frontal pole cerebral cortex
68,998,NaN,FRP1,"Frontal pole, layer 1",1,3,8690,184,7,1,7,/997/8/567/688/695/315/184/68/,268F45,,,f,8,1397862467,734881840,Frontal pole layer 1
667,1073,NaN,FRP2/3,"Frontal pole, layer 2/3",1,3,8690,184,7,1,8,/997/8/567/688/695/315/184/667/,268F45,,,f,9,4268100038,734881840,Frontal pole layer 2/3
526157192,,NaN,FRP5,"Frontal pole, layer 5",1,3,8690,184,7,1,9,/997/8/567/688/695/315/184/526157192/,268F45,,,f,10,1413248090,734881840,Frontal pole layer 5
526157196,,NaN,FRP6a,"Frontal pole, layer 6a",1,3,8690,184,7,1,10,/997/8/567/688/695/315/184/526157196/,268F45,,,f,11,1215326494,734881840,Frontal pole layer 6a
526322264,,NaN,FRP6b,"Frontal pole, layer 6b",1,3,8690,184,7,1,11,/997/8/567/688/695/315/184/526322264/,268F45,,,f,12,3514382500,734881840,Frontal pole layer 6b
500,203,NaN,MO,Somatomotor areas,1,3,8690,315,6,1,12,/997/8/567/688/695/315/500/,1F9D5A,,,f,13,356591023,734881840,Somatomotor areas
107,1003,NaN,MO1,"Somatomotor areas, Layer 1",1,3,8690,500,7,1,13,/997/8/567/688/695/315/500/107/,1F9D5A,,,f,14,900612548,734881840,Somatomotor areas Layer 1
219,1017,NaN,MO2/3,"Somatomotor areas, Layer 2/3",1,3,8690,500,7,1,14,/997/8/567/688/695/315/500/219/,1F9D5A,,,f,15,1075749695,734881840,Somatomotor areas Layer 2/3
299,1027,NaN,MO5,"Somatomotor areas, Layer 5",1,3,8690,500,7,1,15,/997/8/567/688/695/315/500/299/,1F9D5A,,,f,16,851674589,734881840,Somatomotor areas Layer 5
644,787,NaN,MO6a,"Somatomotor areas, Layer 6a",1,3,8690,500,7,1,16,/997/8/567/688/695/315/500/644/,1F9D5A,,,f,17,1003126892,734881840,Somatomotor areas Layer 6a
