"795","Periaqueductal gray","PAG","Midbrain"
"215","Anterior pretectal nucleus","APN","Midbrain"
"214","Red nucleus","RN","Midbrain"
"35","Oculomotor nucleus","III","Midbrain"
"115","Trochlear nucleus","IV","Midbrain"
"757","Ventral tegmental nucleus","VTN","Midbrain"
"12","Interfascicular nucleus raphe","IF","Midbrain"
"100","Interpeduncular nucleus","IPN","Midbrain"
"612","Nucleus of the lateral lemniscus","NLL","Pons"
"7","Principal sensory nucleus of the trigeminal","PSV","Pons"
"122","Superior olivary complex, periolivary region","POR","Pons"
"105","Superior olivary complex, medial part","SOCm","Pons"
"114","Superior olivary complex, lateral part","SOCl","Pons"
"880","Dorsal tegmental nucleus","DTN","Pons"
"931","Pontine gray","PG","Pons"
"318","Supragenual nucleus","SG","Pons"
"574","Tegmental reticular nucleus","TRN","Pons"
"621","Motor nucleus of trigeminal","V","Pons"
"679","Superior central nucleus raphe","CS","Pons"
"147","Locus ceruleus","LC","Pons"
"207","Area postrema","AP","Medulla"
"96","Dorsal cochlear nucleus","DCO","Medulla"
"101","Ventral cochlear nucleus","VCO","Medulla"
"711","Cuneate nucleus","CU","Medulla"
"1039","Gracile nucleus","GR","Medulla"
"903","External cuneate nucleus","ECU","Medulla"
"642","Nucleus of the trapezoid body","NTB","Medulla"
"429","Spinal nucleus of the trigeminal, caudal part","SPVC","Medulla"
"437","Spinal nucleus of the trigeminal, interpolar part","SPVI","Medulla"
"445","Spinal nucleus of the trigeminal, oral part","SPVO","Medulla"
"653","Abducens nucleus","VI","Medulla"
"661","Facial motor nucleus","VII","Medulla"
"576","Accessory facial motor nucleus","ACVII","Medulla"
"939","Nucleus ambiguus, dorsal division","AMBd","Medulla"
"143","Nucleus ambiguus, ventral division","AMBv","Medulla"
"1048","Gigantocellular reticular nucleus","GRN","Medulla"
"83","Inferior olivary complex","IO","Medulla"
"136","Intermediate reticular nucleus","IRN","Medulla"
"106","Inferior salivatory nucleus","ISN","Medulla"
"203","Linear nucleus of the medulla","LIN","Medulla"
"852","Parvicellular reticular nucleus","PARN","Medulla"
"169","Nucleus prepositus","PRP","Medulla"
"209","Lateral vestibular nucleus","LAV","Medulla"
"202","Medial vestibular nucleus","MV","Medulla"
"225","Spinal vestibular nucleus","SPIV","Medulla"
"1041","Paraflocculus","PFL","Cerebellum"
"1049","Flocculus","FL","Cerebellum"
"989","Fastigial nucleus","FN","Cerebellum"
